Choi Gayoon,최가윤,-,Test,Test,K,200,,1
Choi Youmin,최유민,-,Test,Test,K,2007,,2
Cocoro,코코로,ココロ,INTP,Test,J,2009,,3
Han Heeyeon,한희연,-,Test,Test,K,2007,,4
Hanabi,하나비,ハナビ,Test,Test,J,2007,,5
Hina,히나,ヒナ,Test,Test,J,2007,,6
Karin,카린,かりん,Test,Test,J,2007,,7
Kim Chaerin,김채린,-,Test,Test,K,2007,,8
Kim Doi,김도이,-,Test,Test,K,2007,,9
Kim Sujin,김수진,-,Test,Test,K,2007,,10
Kim Yeeun,김예은,-,Test,Test,K,2007,,11
Koko,코코,ココ,Test,Test,J,2007,,12
Kwon Dohee,권도희,-,Test,Test,K,2007,,13
Lee Chaehyun,이채현,-,Test,Test,K,2007,,14
Lee Chaeyeon,이채연,-,Test,Test,K,2007,,15
Lee Jooeun,이주은,-,Test,Test,K,2007,,16
Lee Seohyun,이서현,-,Test,Test,K,2007,,17
Mayu,마유,マユ,Test,Test,J,2007,,18
Mia,미아,ミア,Test,Test,J,2007,,19
Min Jiho,민지호,-,Test,Test,K,2007,,20
Mirika,미리카,ミリカ,Test,Test,J,2007,,21
Miyabi,미야비,みやび,Test,Test,J,2007,,22
Nam Yuju,남유주,-,Test,Test,K,2007,,23
Nana,나나,ナナ,Test,Test,J,2007,,24
Natsuho,나츠호,ナツホ,Test,Test,J,2007,,25
Niko,니코,ニコ,Test,Test,J,2007,,26
Rino,리노,リノ,Test,Test,J,2007,,27
Ryu Hajin,류하진,-,Test,Test,K,2007,,28
Saaya,사아야,サアヤ,Test,Test,J,2007,,29
Sasa,사사,ササ,Test,Test,J,2007,,30
Sea,세아,セア,Test,Test,J,2007,,31
Sena,세나,セナ,Test,Test,J,2007,,32
Shiho,시호,シホ,Test,Test,J,2007,,33
Shin Yookyung,신유경,-,Test,Test,K,2007,,34
Urara,우라라,うらら,Test,Test,J,2007,,35
Yang Jaeyun,양재윤,-,Test,Test,K,2007,,36
Yoon Chaeeun,윤채은,-,Test,Test,K,2007,,37
Yoon Sooin,윤수인,-,Test,Test,K,2007,,38
Yun Seoyoung,윤서영,-,Test,Test,K,2007,,39
Yunon,유논,ユノン,Test,Test,J,2007,,40
